rollcall_id,roll_num,date,bill_id,question,result,description,year,congress,session
2019:238,238,4-Jun,H.RES.393,"On Motion to Suspend the Rules and Agree, as Amended",P,"Remembering the victims of the violent suppression of democracy protests in Tiananmen Square and elsewhere in China on June 3 and 4, 1989, and calling on the Government of the Peoples Republic of China to respect the universally recognized human rights of all people living in China and around the world",2019,116,1
2019:239,239,4-Jun,H.R.6,On Motion to Recommit with Instructions,F,American Dream and Promise Act,2019,116,1
2019:240,240,4-Jun,H.R.6,On Passage,P,American Dream and Promise Act,2019,116,1
2019:241,241,5-Jun,H.R.1921,"On Motion to Suspend the Rules and Pass, as Amended",P,Ocean Acidification Innovation Act,2019,116,1
2019:242,242,10-Jun,H.R.542,On Motion to Suspend the Rules and Pass,P,Supporting Research and Development for First Responders Act,2019,116,1
2019:243,243,10-Jun,H.R.2539,On Motion to Suspend the Rules and Pass,P,Strengthening Local Transportation Security Capabilities Act,2019,116,1
2019:244,244,10-Jun,H.R.2590,"On Motion to Suspend the Rules and Pass, as Amended",P,DHS Overseas Personnel Enhancement Act,2019,116,1
2019:245,245,11-Jun,H.RES.431,On Ordering the Previous Question,P,Providing for consideration of H.R. 2740 and H. Res. 430,2019,116,1
2019:246,246,11-Jun,H.RES.431,On Agreeing to the Resolution,P,Providing for consideration of H.R. 2740 and H. Res. 430,2019,116,1
2019:247,247,11-Jun,H.RES.430,On Agreeing to the Resolution,P,Authorizing the Committee on the Judiciary to initiate or intervene in judicial proceedings to enforce certain subpoenas and for other purposes,2019,116,1
2019:248,248,11-Jun,H.R.2609,On Motion to Suspend the Rules and Pass,P,DHS Acquisition Review Board Act,2019,116,1
2019:249,249,12-Jun,ADJOURN,On Motion to Adjourn,F, ,2019,116,1
2019:250,250,12-Jun,ADJOURN,On Motion to Adjourn,F, ,2019,116,1
2019:251,251,12-Jun,H.R.2740,On Agreeing to the Amendment,A,McGovern of Massachusetts Part B Amendment No. 2,2019,116,1
2019:252,252,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Shalala of Florida Part B Amendment No. 4,2019,116,1
2019:253,253,12-Jun,H.R.2740,On Agreeing to the Amendment,A,DeSaulnier of California Part B Amendment No. 5,2019,116,1
2019:254,254,12-Jun,H.R.2740,On Agreeing to the Amendment,A,DeSaulnier of California Part B Amendment No. 6,2019,116,1
2019:255,255,12-Jun,H.R.2740,On Agreeing to the Amendment,A,DeSaulnier of California Part B Amendment No. 7,2019,116,1
2019:256,256,12-Jun,H.R.2740,On Agreeing to the Amendment,A,DeSaulnier of California Part B Amendment No. 8,2019,116,1
2019:257,257,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Smith of New Jersey Part B Amendment No. 11,2019,116,1
2019:258,258,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Scott of Virginia Part B Amendment No. 12,2019,116,1
2019:259,259,12-Jun,H.R.2740,On Agreeing to the Amendment,A,DeFazio of Oregon Part B Amendment No. 13,2019,116,1
2019:260,260,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Jackson Lee of Texas Part B Amendment No. 14,2019,116,1
2019:261,261,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Jackson Lee of Texas Part B Amendment No. 15,2019,116,1
2019:262,262,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Pascrell of New Jersey Part B Amendment No. 16,2019,116,1
2019:263,263,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Danny K. Davis of Illinois Part B Amendment No. 17,2019,116,1
2019:264,264,12-Jun,H.RES.436,On Ordering the Previous Question,P,"Providing for further consideration of the bill (H.R. 2740) Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2020",2019,116,1
2019:265,265,12-Jun,H.RES.436,On Agreeing to the Resolution,P,"Providing for further consideration of the bill (H.R. 2740) Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2020",2019,116,1
2019:266,266,12-Jun,H.R.2740,On Agreeing to the Amendment,F,Cole of Oklahoma Part B Amendment No. 1,2019,116,1
2019:267,267,12-Jun,H.R.2740,On Agreeing to the Amendment,F,Roby of Alabama Part B Amendment No. 9,2019,116,1
2019:268,268,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Buchanan of Florida Part B Amendment No. 18,2019,116,1
2019:269,269,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Langevin of Rhode Island Part B Amendment No. 19,2019,116,1
2019:270,270,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Foster of Illinois Part B Amendment No. 20,2019,116,1
2019:271,271,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Foster of Illinois Part B Amendment No. 21,2019,116,1
2019:272,272,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Foster of Illinois Part B Amendment No. 22,2019,116,1
2019:273,273,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Foster of Illinois Part B Amendment No. 23,2019,116,1
2019:274,274,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Schiff of California Part B Amendment No. 24,2019,116,1
2019:275,275,12-Jun,H.R.2740,On Agreeing to the Amendment,A,McKinley of West Virginia Part B Amendment No. 25,2019,116,1
2019:276,276,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Butterfield of North Carolina Part B Amendment No. 26,2019,116,1
2019:277,277,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Johnson of Ohio Part B Amendment No. 27,2019,116,1
2019:278,278,12-Jun,H.R.2740,On Agreeing to the Amendment,A,Moore of Wisconsin Part B Amendment No. 28,2019,116,1
2019:279,279,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Moore of Wisconsin Part B Amendment No. 29,2019,116,1
2019:280,280,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Matsui of California Part B Amendment No. 32,2019,116,1
2019:281,281,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Barr of Kentucky Part B Amendment No. 33,2019,116,1
2019:282,282,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Cleaver of Missouri Part B Amendment No. 34,2019,116,1
2019:283,283,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Castor of Florida Part B Amendment No. 36,2019,116,1
2019:284,284,13-Jun,H.R.2740,On Agreeing to the Amendment,F,Hill of Arkansas Part B Amendment No. 37,2019,116,1
2019:285,285,13-Jun,H.R.2740,On Agreeing to the Amendment,F,Hill of Arkansas Part B Amendment No. 38,2019,116,1
2019:286,286,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Pressley of Massachusetts Part B Amendment No. 39,2019,116,1
2019:287,287,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Khanna of California Part B Amendment No. 40,2019,116,1
2019:288,288,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Richmond of Louisiana Part B Amendment No. 41,2019,116,1
2019:289,289,13-Jun,H.R.2740,On Agreeing to the Amendment,F,Banks of Indiana Part B Amendment No. 42,2019,116,1
2019:290,290,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Keating of Massachusetts Part B Amendment No. 43,2019,116,1
2019:291,291,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Miller of West Virginia Part B Amendment No. 44,2019,116,1
2019:292,292,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Cicilline of Rhode Island Part B Amendment No. 45,2019,116,1
2019:293,293,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Bera of California Part B Amendment No. 46,2019,116,1
2019:294,294,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Castro of Texas Part B Amendment No. 47,2019,116,1
2019:295,295,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Jeffries of New York Part B Amendment No. 48,2019,116,1
2019:296,296,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Sean Patrick Maloney of New York Part B Amendment No. 49,2019,116,1
2019:297,297,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Adams of North Carolina Part B Amendment No. 50,2019,116,1
2019:298,298,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Adams of North Carolina Part B Amendment No. 51,2019,116,1
2019:299,299,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Beyer of Virginia Part B Amendment No. 52,2019,116,1
2019:300,300,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Beyer of Virginia Part B Amendment No. 53,2019,116,1
2019:301,301,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Blunt Rochester of Delaware Part B Amendment No. 54,2019,116,1
2019:302,302,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Murphy of Florida Part B Amendment No. 56,2019,116,1
2019:303,303,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Ocasio-Cortez of New York Part B Amendment No. 57,2019,116,1
2019:304,304,13-Jun,H.R.2740,On Agreeing to the Amendment,F,Ocasio-Cortez of New York Part B Amendment No. 58,2019,116,1
2019:305,305,13-Jun,H.R.2740,On Agreeing to the Amendment,A,McAdams of Utah Part B Amendment No. 59,2019,116,1
2019:306,306,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Schrier of Washington Part B Amendment No. 60,2019,116,1
2019:307,307,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Lee of Nevada Part B Amendment No. 61,2019,116,1
2019:308,308,13-Jun,H.R.2740,On Agreeing to the Amendment,A,Craig of Minnesota Part B Amendment No. 62,2019,116,1
